,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
588,LovelySara303,"ignore and fly 🥰
Sushant Singh Rajput 😍",مصر,338,445,21608,19,"""Missing someone hurts, but what  hurts even more, is knowing that I somehow is the reason that they're gone.""
❤🍃🌧

@itsSSR miss you..

#SushantSinghRajput https://t.co/oDhlhMZ7Gr",[]
589,MeherunnesaSho1,"muslim💙
fan of @anky1912 and @itsssr",,23,31,810,0,"Some 14 brings sadness some 14 brings happiness❤️

First day shoot of PVR ✨
 #SushantSinghRajput #AnkitaLokhande #ManavArchana #Sushita #PavitraRishta #ForeverLove #Connected #PowerCouple #ThenAndNow #6YearsAgo @itsSSR @anky1912 https://t.co/KvS0mCMLdr","['SushantSinghRajput', 'AnkitaLokhande', 'ManavArchana', 'Sushita', 'PavitraRishta', 'ForeverLove', 'Connected', 'PowerCouple', 'ThenAndNow', '6YearsAgo']"
590,RaviPan79730591,,,197,192,59635,4,"""I am not lost.
I am very much alive.""  ~ @itsSSR ❤🦋
#SushantSinghRajput 
SSR Justice Is Basic Right https://t.co/8fWKIlYMrM",['SushantSinghRajput']
591,MeherunnesaSho1,"muslim💙
fan of @anky1912 and @itsssr",,23,31,810,0,"Some 14 brings sadness some 14 brings happiness❤️

First day shoot of PVR ✨
 #SushantSinghRajput #AnkitaLokhande #ManavArchana #Sushita #PavitraRishta #ForeverLove #Connected #PowerCouple #ThenAndNow #6YearsAgo @itsSSR @anky1912 https://t.co/X8xKlzcFZb","['SushantSinghRajput', 'AnkitaLokhande', 'ManavArchana', 'Sushita', 'PavitraRishta', 'ForeverLove', 'Connected', 'PowerCouple', 'ThenAndNow', '6YearsAgo']"
592,MalikOorja,,,450,230,2927,5175,I really can’t believe this. Sushant was a wonderful actor and I still remember the times I spent with him. His performance always inspired me. Deepest condolences to his fans and family. RIP #SushantSinghRajput,[]
593,SSR_is_alive,"'I' am just 'you' away from my Glory ~ @itsSSR ❤💫🦋
#SushantLives ☄️🔭",,151,227,6401,4,"""I am not lost.
I am very much alive.""  ~ @itsSSR ❤🦋
#SushantSinghRajput 
SSR Justice Is Basic Right https://t.co/8fWKIlYMrM",['SushantSinghRajput']
594,Sushantcommite1,Warrior for truth and against misinformation and fake news. Campaigner for gender equality and for more action on prevention of suicide among vulnerable people,,17,2,1542,0,"Questions no #ssrians can answer!
In which murder conspiracy do they do it...
In daylight?
In a busy apartment building?
When there are security guards?
When there are 4 people at home?
Plus a dog which would bark +alert people?
Clear suicide!
 #Warriors4ssr
#SushantSinghRajput","['ssrians', 'Warriors4ssr', 'SushantSinghRajput']"
595,itsSSR_Lifeline,"Just here for SSR. ❤️
United For Justice 💪❤️
Sushant Singh Rajput Forever ❤️
Gulshan will surely get justice 🙏",,15,442,24977,160,"Always trust your instincts, they are messages from your soul, they are that inner part of you that strives to make you whole.
#SushantSinghRajput  will definitely get justice!!
SSR Justice Is Basic Right https://t.co/hvcDmI74FH",[]
596,nishi821,"Sai Baba,plz guide us in this fight.Sushant was brutally MURDERED.Plz punish his https://t.co/G9djzlgjTa Sai Ram🙏 

#JusticeForSushantSinghRajput

Back up-@Nishi4evaSSRian",,1224,1053,42055,160,"Always trust your instincts, they are messages from your soul, they are that inner part of you that strives to make you whole.
#SushantSinghRajput  will definitely get justice!!
SSR Justice Is Basic Right https://t.co/hvcDmI74FH",[]
597,Santosh61536729,peace...,,259,295,27690,160,"Always trust your instincts, they are messages from your soul, they are that inner part of you that strives to make you whole.
#SushantSinghRajput  will definitely get justice!!
SSR Justice Is Basic Right https://t.co/hvcDmI74FH",[]
598,SICKULAR1515,#Bollywood has been always a mystery for how the finance funneled & diverted in/out of the country which directly influence & hijack people minds & behavior...., LEARN ABOUT #Congress GODSE ?,3213,724,19236,47,"#ArnabWeAreWithYou
THE PEOPLE OF #Maharashra BETRAYAL/SUPPRESSED  FOR YEARS BY THE #Congress GOONS #Communist STYLE GOVT &amp; NOT ABLE TO SPEAK UP! IMAGINE WHY THEY ARE NOT ABLE TO RAISE VOICE!

DOES #Mumbai HC JUDICIARY EVER THOUGHT ABOUT?

#PalgharSadhus #Disha #SushantSinghRajput https://t.co/2kqRaJoOn0 https://t.co/TKLckJFBOH","['ArnabWeAreWithYou', 'Maharashra', 'Congress', 'Communist']"
599,For_SSR_Justice,"'Dubito, Ergo Cogito, Ergo Sum'
                           I doubt, therefore I think, therefore I am❤~ SSR #selfmusing 💫",Gods Palace,722,620,14158,6,"S u n s h i n e 💛💛
#SushantSinghRajput 
SSR Justice Is Basic Right https://t.co/Z3TdL4fP1e",['SushantSinghRajput']
600,PRADIP0412,Nothing without you 🔱,Twitter,4550,2634,104118,160,"Always trust your instincts, they are messages from your soul, they are that inner part of you that strives to make you whole.
#SushantSinghRajput  will definitely get justice!!
SSR Justice Is Basic Right https://t.co/hvcDmI74FH",[]
601,jendebedge,,"Mumbai, India",92,24,4844,160,"Always trust your instincts, they are messages from your soul, they are that inner part of you that strives to make you whole.
#SushantSinghRajput  will definitely get justice!!
SSR Justice Is Basic Right https://t.co/hvcDmI74FH",[]
602,Nisha93618057,,,0,1,403,103,"Sushant spitting facts. 
‘Aapke baare mein discussions honge aapke bina pooche, aur sab ganda bolenge.. Kuch bhi bolenge..’ 🙂🙃

Reminds me of his saying ‘Jaane do sir, kaam bolega.’ 
#SushantSinghRajput https://t.co/UWhgjNT1H4",[]
603,Mohini68209671,self employed and confident,,19,9,237,103,"Sushant spitting facts. 
‘Aapke baare mein discussions honge aapke bina pooche, aur sab ganda bolenge.. Kuch bhi bolenge..’ 🙂🙃

Reminds me of his saying ‘Jaane do sir, kaam bolega.’ 
#SushantSinghRajput https://t.co/UWhgjNT1H4",[]
604,ayaansangar,Between What If & Fuck it // See You At The Movies! RK Fan Account.,Chicago,292,2410,52061,17,"Highest solo openings of youngsters:-

1. #RanbirKapoor: ₹ 34Cr
2. #TigerShroff: ₹ 25Cr
3. #RanveerSingh: ₹ 20Cr
4. #ShahidKapoor: ₹ 20Cr
5. #SushantSinghRajput: ₹ 20Cr
6. #VarunDhawan: ₹ 18Cr
7. #SidharthMalhotra: ₹ 16Cr
8. #ArjunKapoor: ₹ 12Cr
9. #KartikAaryan: ₹ 11Cr","['RanbirKapoor', 'TigerShroff', 'RanveerSingh']"
605,Warrior13277056,,,42,47,13505,3,"Will keep on demanding...
Will keep on asking...
@ips_nupurprasad 
@PMOIndia @HMOIndia 
Until RIGHTEOUSNESS in JUSTICE to @itsSSR rolls down like water in a BECK!!!
Give Complete Justice to #SushantSinghRajput 
Only this WE WANT!!
As
SSR Justice Is Basic Right",[]
606,Warrior13277056,,,42,47,13505,12,"Brutal &amp; Barbaric Crime is always an Urgent necessitate demand... Supreme Authorities not paying DUE Attention towards @itsSSR case... Now is d time to implement IPC Section 302 in #SushantSinghRajput Murder Case!!!
As
SSR Justice Is Basic Right",[]
607,selfmusingsongs,I know you are with us. 🎶🎶,,56,82,322,9,"Dhoni Time @itsSSR 🏏

#sushantsinghrajput #14thApril #MSDhoni https://t.co/KhuJApL0pw","['sushantsinghrajput', '14thApril', 'MSDhoni']"
608,MonikaS58630020,Single parent working women,,87,51,7507,103,"#SushantSinghRajput ‘s case is still under CBI investigation. Meanwhile, it’s illegal to make a film on @itsSSR that too without family’s consent. 
@ips_nupurprasad mam how it’s possible fr anyone to make a film on SSR where the case is still in court? 

Ban PR Movies On Sushant https://t.co/dpPPePlBAr",['SushantSinghRajput']
609,sweetheart_087,Truth is like the Sun. 💫,India,12,6,1108,29,"@kritisanon and @itsSSR ☺☺☺
Mein superstar, ye yaar (pointing towards Kriti) 😄
#YaarMeraSuperstar #KritiSanon #SushantSinghRajput https://t.co/Pwe2A8kWga","['YaarMeraSuperstar', 'KritiSanon']"
610,Palsi21,"Free yourself from the emotion that has held you back, unleash the agony it has caused you, release it to feel your freedom to move on and live your life...",,16,58,10950,3,"If #SushantSinghRajput's family is so sure that he was murdered, why are they not challenging AIIMS and CFSL report? What and who is stopping them from taking legal recourse? Why haven't they approached CBI to form a new medical team? Their silence is telling a different story!!",['SushantSinghRajput']
611,ShivyaVyas,inner voice 💕,,233,93,3475,103,"Sushant spitting facts. 
‘Aapke baare mein discussions honge aapke bina pooche, aur sab ganda bolenge.. Kuch bhi bolenge..’ 🙂🙃

Reminds me of his saying ‘Jaane do sir, kaam bolega.’ 
#SushantSinghRajput https://t.co/UWhgjNT1H4",[]
612,Avenger_RKF,,India,172,1385,92732,17,"Highest solo openings of youngsters:-

1. #RanbirKapoor: ₹ 34Cr
2. #TigerShroff: ₹ 25Cr
3. #RanveerSingh: ₹ 20Cr
4. #ShahidKapoor: ₹ 20Cr
5. #SushantSinghRajput: ₹ 20Cr
6. #VarunDhawan: ₹ 18Cr
7. #SidharthMalhotra: ₹ 16Cr
8. #ArjunKapoor: ₹ 12Cr
9. #KartikAaryan: ₹ 11Cr","['RanbirKapoor', 'TigerShroff', 'RanveerSingh']"
613,MonikaS58630020,Single parent working women,,87,51,7507,160,"Always trust your instincts, they are messages from your soul, they are that inner part of you that strives to make you whole.
#SushantSinghRajput  will definitely get justice!!
SSR Justice Is Basic Right https://t.co/hvcDmI74FH",[]
614,_SSR_Forever,"SSRian Forever💖......                               
#JusticeForSushantSinghRajput                                           
Main acc: @HereFor_SSR_",,451,555,63315,15,"14/06/20 - #SushantSinghRajput
14/07/20 - #MahaCMCBIForSSR
14/08/20 - #2MonthsOfSSRMurder
14/09/20 - #Flag4SSR
14/10/20 - #ProtestInBihar4SSR 
                  #MannKiBaat4SSR
14/11/20 - #YeDiwaliSushantWali
14/12/20 - #Oath4SSR   1/2

SSR Justice Is Basic Right https://t.co/sQ3VDxWAu9","['SushantSinghRajput', 'MahaCMCBIForSSR', '2MonthsOfSSRMurder', 'Flag4SSR']"
615,MamtaKeepSmilin,keep Smiling..and Never forget to be grateful for what you have in life😊,"Bengaluru, India",42,42,2004,103,"Sushant spitting facts. 
‘Aapke baare mein discussions honge aapke bina pooche, aur sab ganda bolenge.. Kuch bhi bolenge..’ 🙂🙃

Reminds me of his saying ‘Jaane do sir, kaam bolega.’ 
#SushantSinghRajput https://t.co/UWhgjNT1H4",[]
616,Pure_soulSSRIAN,,,184,58,1046,160,"Always trust your instincts, they are messages from your soul, they are that inner part of you that strives to make you whole.
#SushantSinghRajput  will definitely get justice!!
SSR Justice Is Basic Right https://t.co/hvcDmI74FH",[]
617,SaiManjusha96,,,165,136,18803,160,"Always trust your instincts, they are messages from your soul, they are that inner part of you that strives to make you whole.
#SushantSinghRajput  will definitely get justice!!
SSR Justice Is Basic Right https://t.co/hvcDmI74FH",[]
618,memia26645588,Here for SSR. No toxicity only positivity.,,814,643,15269,3,"#SushantSinghRajput did some commendable work with some great colleagues who valued him and respected his work. He valued them too.

But, #MeToo, #Drive and lost SLB projects (and others) are some examples of how his career was strategically targeted by the gatekeepers of BW.",['SushantSinghRajput']
619,Kuki54499724,Free spirit,,88,65,13724,12,"Brutal &amp; Barbaric Crime is always an Urgent necessitate demand... Supreme Authorities not paying DUE Attention towards @itsSSR case... Now is d time to implement IPC Section 302 in #SushantSinghRajput Murder Case!!!
As
SSR Justice Is Basic Right",[]
620,memia26645588,Here for SSR. No toxicity only positivity.,,814,643,15269,3,"#MeToo:
#SushantSinghRajput said that his name was intentionally dragged into the movement by paid campaigners.

""It's a curated and well timed smear campaign"".

https://t.co/LMqWOAsVtJ

Who was behind the malicious campaign intended to damage his reputation &amp; destroy his career?","['MeToo', 'SushantSinghRajput']"
621,Parthu30231477,Love my family,England ,74,3,73,5,"It's again 14th, and it again hurts like 14th, every 14th, everyday feels like the 14th june.. 
CAN'T STOP CRYING FOR U SSR 😭😭
 #SushantSinghRajput #JusticeForSushantSinghRajput #SSR
@ApurvaU21 @republic
@iamshraddhapanj #ArnabGoswami
@PyareSushant

SSR Justice Is Basic Right https://t.co/YlDv8HqHoS",[]
622,memia26645588,Here for SSR. No toxicity only positivity.,,814,643,15269,3,"Chanda Mama Door Ke:

""#SushantSinghRajput is not a bankable star"", says this article, as the reason for stalling SSR's dream project. Bunkum!
And the clueless makers figured that out after Rajput invested his time and money to train for the role at NASA? 
https://t.co/CCfAjmtLJY",['SushantSinghRajput']
623,Justice07993487,WE WANT JUSTICE FOR SSR,,20,6,89,5,"It's again 14th, and it again hurts like 14th, every 14th, everyday feels like the 14th june.. 
CAN'T STOP CRYING FOR U SSR 😭😭
 #SushantSinghRajput #JusticeForSushantSinghRajput #SSR
@ApurvaU21 @republic
@iamshraddhapanj #ArnabGoswami
@PyareSushant

SSR Justice Is Basic Right https://t.co/YlDv8HqHoS",[]
624,Shikhaverma2627,"I'm not special but definitely I'm Limited Edition 🙌🤗
...
Be Valuable 🔥🤘
Not Available 💖
...
Insta : Shikha verma2627",,104,62,1031,0,"14th April .....
10 Months ......💔
Miss uhh SSR 🔱❣️🙏

SSR Justice Is Basic Right
#SushantSinghRajput
#JusticeForSushantSinghRajput #JusticeForDishaSalian https://t.co/wbusZ5CFF0","['SushantSinghRajput', 'JusticeForSushantSinghRajput', 'JusticeForDishaSalian']"
625,takdum,A noble human being like SSR must get justice.,"Mumbai, Maharashtra",1987,838,41803,3,"#SushantSinghRajput did some commendable work with some great colleagues who valued him and respected his work. He valued them too.

But, #MeToo, #Drive and lost SLB projects (and others) are some examples of how his career was strategically targeted by the gatekeepers of BW.",['SushantSinghRajput']
626,PanjabiShraddha,,,59,169,525,5,"It's again 14th, and it again hurts like 14th, every 14th, everyday feels like the 14th june.. 
CAN'T STOP CRYING FOR U SSR 😭😭
 #SushantSinghRajput #JusticeForSushantSinghRajput #SSR
@ApurvaU21 @republic
@iamshraddhapanj #ArnabGoswami
@PyareSushant

SSR Justice Is Basic Right https://t.co/YlDv8HqHoS",[]
627,takdum,A noble human being like SSR must get justice.,"Mumbai, Maharashtra",1987,838,41803,3,"#MeToo:
#SushantSinghRajput said that his name was intentionally dragged into the movement by paid campaigners.

""It's a curated and well timed smear campaign"".

https://t.co/LMqWOAsVtJ

Who was behind the malicious campaign intended to damage his reputation &amp; destroy his career?","['MeToo', 'SushantSinghRajput']"
628,RealRohitNaseem,"A Froum Of Thoughts and perspectives designed to ignite conversations and actions leading to growth, and occasional self promotion. #NEVERGIVEUP #RISEABOVEHATE","West Newbury, MA",1619,346,158599,1,"#NyayTheJustice is allegedly based on the life of #SushantSinghRajput 

https://t.co/98MeNdumPT","['NyayTheJustice', 'SushantSinghRajput']"
629,sbmegha1,only and only for SSR ❤,,271,301,45689,160,"Always trust your instincts, they are messages from your soul, they are that inner part of you that strives to make you whole.
#SushantSinghRajput  will definitely get justice!!
SSR Justice Is Basic Right https://t.co/hvcDmI74FH",[]
630,iamshraddhapanj,FOLLOW ME  FOR MORE  UPDATES ON @SUSHANTSINGHRAJPUT #JUSTICEFORSUSHANTSINGHRAJPUT #JUSTICE4JIAHKHAN  AND #JUSTICE4DISHASALIAN,,287,3393,8697,5,"It's again 14th, and it again hurts like 14th, every 14th, everyday feels like the 14th june.. 
CAN'T STOP CRYING FOR U SSR 😭😭
 #SushantSinghRajput #JusticeForSushantSinghRajput #SSR
@ApurvaU21 @republic
@iamshraddhapanj #ArnabGoswami
@PyareSushant

SSR Justice Is Basic Right https://t.co/YlDv8HqHoS","['SushantSinghRajput', 'JusticeForSushantSinghRajput', 'SSR', 'ArnabGoswami']"
631,RinkiforSushant,,,84,98,4879,160,"Always trust your instincts, they are messages from your soul, they are that inner part of you that strives to make you whole.
#SushantSinghRajput  will definitely get justice!!
SSR Justice Is Basic Right https://t.co/hvcDmI74FH",[]
632,ruchi88462910,kindness always come back,,202,319,37636,103,"#SushantSinghRajput ‘s case is still under CBI investigation. Meanwhile, it’s illegal to make a film on @itsSSR that too without family’s consent. 
@ips_nupurprasad mam how it’s possible fr anyone to make a film on SSR where the case is still in court? 

Ban PR Movies On Sushant https://t.co/dpPPePlBAr",['SushantSinghRajput']
633,takdum,A noble human being like SSR must get justice.,"Mumbai, Maharashtra",1987,838,41803,3,"Chanda Mama Door Ke:

""#SushantSinghRajput is not a bankable star"", says this article, as the reason for stalling SSR's dream project. Bunkum!
And the clueless makers figured that out after Rajput invested his time and money to train for the role at NASA? 
https://t.co/CCfAjmtLJY",['SushantSinghRajput']
634,DebjaniDas4SSR,The purpose of Human life is not to seek pleasure but to find the truth.,"Kolkata, India",151,13,1086,0,We will fight till justice is done for you and me. #SushantInOurHeartsForever #SushantSinghRajput #JusticeForSSR https://t.co/7nWgBKkRBS https://t.co/tX9c6Djp3E,"['SushantInOurHeartsForever', 'SushantSinghRajput', 'JusticeForSSR']"
635,ShivSaira,Sushriti = Foreverness... An admire of @itsssr and @kritisanon,,104,80,244,0,I hope u both like it 🥺❤️ @kritisanon @itsSSR #KritiSanon #SushantSinghRajput #4yearsofraabtaposter,"['KritiSanon', 'SushantSinghRajput', '4yearsofraabtaposter']"
636,kritis_admirer,"Die Heart Fan of Kriti Sanon 🙈😍💖
Kriti has LIKED 4 of my tweets & Replied me too 😭💕",,197,578,5018,103,"Sushant spitting facts. 
‘Aapke baare mein discussions honge aapke bina pooche, aur sab ganda bolenge.. Kuch bhi bolenge..’ 🙂🙃

Reminds me of his saying ‘Jaane do sir, kaam bolega.’ 
#SushantSinghRajput https://t.co/UWhgjNT1H4",[]
637,JordanJJ4short,RKFan4Life #Shamshera #Brahmastra #Animal,"Maharashtra, India",577,778,14022,17,"Highest solo openings of youngsters:-

1. #RanbirKapoor: ₹ 34Cr
2. #TigerShroff: ₹ 25Cr
3. #RanveerSingh: ₹ 20Cr
4. #ShahidKapoor: ₹ 20Cr
5. #SushantSinghRajput: ₹ 20Cr
6. #VarunDhawan: ₹ 18Cr
7. #SidharthMalhotra: ₹ 16Cr
8. #ArjunKapoor: ₹ 12Cr
9. #KartikAaryan: ₹ 11Cr","['RanbirKapoor', 'TigerShroff', 'RanveerSingh']"
638,RetweetsMumbai,"RT from in & around Mumbai & are not endorsements, Use #Mumbai #Bombay for RTs
RTs are automated we take no responsibility of the RT's
DM for more info",Mumbai,7,1252,98580,1,"#NCB on lookout for #Dubai drug lord Sahil Shah alias Flacko in the #SushantSinghRajput drug case. On Monday the NCB nabbed two of his aides, Ganesh Shere and Sidhant Amin, from Parel village in #Mumbai #SSR","['NCB', 'Dubai', 'SushantSinghRajput']"
639,SimplyShil,"Don't be simply good. Be good for something. 
Retweets are not endorsements",,166,173,8324,1,"#NCB on lookout for #Dubai drug lord Sahil Shah alias Flacko in the #SushantSinghRajput drug case. On Monday the NCB nabbed two of his aides, Ganesh Shere and Sidhant Amin, from Parel village in #Mumbai #SSR","['NCB', 'Dubai', 'SushantSinghRajput', 'Mumbai', 'SSR']"
640,itsmekeerthi05,"Am here for Sushant 🌈n Only Sushant♥️♥️ N I'm ..
Dreamer 🥰🌈🌈 Artist👩‍🎨🎨 
Loves ♥️Colors 🎨
Books📚📚  Music🎶 Moon🌜 n Furry Friends 🐕🐶",🇮🇳,526,749,50652,6,"S u n s h i n e 💛💛
#SushantSinghRajput 
SSR Justice Is Basic Right https://t.co/Z3TdL4fP1e",['SushantSinghRajput']
641,bombaytimes,"Get your daily dose of the hottest Bollywood gossip, Glamour, Fashion & Lifestyle. Follow us on https://t.co/9FPzlEaQzd","Mumbai, Maharashtra",251,682413,73234,0,"The NCB identifies the prime suspect in the #SushantSinghRajput drug case!

https://t.co/UsY8QlYj3P",['SushantSinghRajput']
642,logical01801129,,,155,125,23656,160,"Always trust your instincts, they are messages from your soul, they are that inner part of you that strives to make you whole.
#SushantSinghRajput  will definitely get justice!!
SSR Justice Is Basic Right https://t.co/hvcDmI74FH",[]
643,Vee_ItIs,"A proud Bhakt, Bhartiya & true believer of our heritage and roots. Nation First - No Compromise! Backup account @Veeitis2",,698,1270,148531,15,"14/06/20 - #SushantSinghRajput
14/07/20 - #MahaCMCBIForSSR
14/08/20 - #2MonthsOfSSRMurder
14/09/20 - #Flag4SSR
14/10/20 - #ProtestInBihar4SSR 
                  #MannKiBaat4SSR
14/11/20 - #YeDiwaliSushantWali
14/12/20 - #Oath4SSR   1/2

SSR Justice Is Basic Right https://t.co/sQ3VDxWAu9","['SushantSinghRajput', 'MahaCMCBIForSSR', '2MonthsOfSSRMurder', 'Flag4SSR']"
644,Jasvind26885587,"Fan of SSR.
Justice for SSR
I am not  BOT","Melbourne, Victoria",321,175,7043,103,"Sushant spitting facts. 
‘Aapke baare mein discussions honge aapke bina pooche, aur sab ganda bolenge.. Kuch bhi bolenge..’ 🙂🙃

Reminds me of his saying ‘Jaane do sir, kaam bolega.’ 
#SushantSinghRajput https://t.co/UWhgjNT1H4",[]
645,IndiaPatriot01,"#ProudIndian #Nationalist #ProudHindu #SanatanDharma #ModiBhakt #AndhBhakt #ModiAlways #CongressMuktBharat. Am an Astrologer & Gemologist, Gemstones Dealer.",India,4979,1676,19419,0,@SathyaDarlingF1 I don't watch any movies of these #BollywoodDruggies after #SushantSinghRajput murder. #BoycottBollywoodDruggies #BoycottAnniyan #BoycottRanveerSingh #BoycottDeepikaPadukone,"['BollywoodDruggies', 'SushantSinghRajput', 'BoycottBollywoodDruggies', 'BoycottAnniyan', 'BoycottRanveerSingh', 'BoycottDeepikaPadukone']"
646,notesonwisdom,"Mechanical Engg
original account @AnkitaMokal",,598,585,75279,6,"S u n s h i n e 💛💛
#SushantSinghRajput 
SSR Justice Is Basic Right https://t.co/Z3TdL4fP1e",['SushantSinghRajput']
647,IndiaPatriot01,"#ProudIndian #Nationalist #ProudHindu #SanatanDharma #ModiBhakt #AndhBhakt #ModiAlways #CongressMuktBharat. Am an Astrologer & Gemologist, Gemstones Dealer.",India,4979,1676,19419,1,"Drawing @itsSSR 
Instagram - @soniraghav_arts

@onlyforSSR_ #SushanthSinghRajput #SSRTweets #SSR #SushantSinghRajput #JusticeForSushantSinghRajput #art #drawing #artists #artoftheday #drawingoftheday #sketch #bollywood #sketchup #ArtofLegends #artlife https://t.co/tXrlGNVidD","['SushanthSinghRajput', 'SSRTweets', 'SSR', 'SushantSinghRajput']"
648,TheEnigmatic_1,Live and let Live 😎,,543,407,110748,15,"14/06/20 - #SushantSinghRajput
14/07/20 - #MahaCMCBIForSSR
14/08/20 - #2MonthsOfSSRMurder
14/09/20 - #Flag4SSR
14/10/20 - #ProtestInBihar4SSR 
                  #MannKiBaat4SSR
14/11/20 - #YeDiwaliSushantWali
14/12/20 - #Oath4SSR   1/2

SSR Justice Is Basic Right https://t.co/sQ3VDxWAu9","['SushantSinghRajput', 'MahaCMCBIForSSR', '2MonthsOfSSRMurder', 'Flag4SSR']"
649,Ishita19784477,"Even if  somone came to you search , we could not find you ......✨",universe,2255,727,30326,6,"S u n s h i n e 💛💛
#SushantSinghRajput 
SSR Justice Is Basic Right https://t.co/Z3TdL4fP1e",['SushantSinghRajput']
650,SSR_is_alive,"'I' am just 'you' away from my Glory ~ @itsSSR ❤💫🦋
#SushantLives ☄️🔭",,151,227,6401,6,"S u n s h i n e 💛💛
#SushantSinghRajput 
SSR Justice Is Basic Right https://t.co/Z3TdL4fP1e",['SushantSinghRajput']
651,iptisha4735,stanning for sidharth Shukla lifetime ❤️,,522,97,8112,10107,"Absolutely shocked and stunned on learning about the demise of Sushant Singh Rajput! 
Unbelievable! Sincere condolences and prayers for his family. Rest in peace.. #SushantSinghRajput",[]
652,AjayparekhSoni1,"🤩🤩SSRIANS R NOT BEING PAID BY ANYBODY SO OUR FIGHT IS FROM HEART FOR SSR. NO ONE CAN BREAK OUR UNITY.😍😍😍🤗🤗 
#SSRiansFightBack
it's back up @Ajaysonissr",Sushant sir ke dil main❤️,206,267,41574,160,"Always trust your instincts, they are messages from your soul, they are that inner part of you that strives to make you whole.
#SushantSinghRajput  will definitely get justice!!
SSR Justice Is Basic Right https://t.co/hvcDmI74FH",[]
653,SVunfiltered,Complicatedly simple 🦋✨🌈,India,61,36,534,0,"Just 2 more months and it will be a year. 

A YEAR. 

#SushantSinghRajput 
#SSR","['SushantSinghRajput', 'SSR']"
654,soniraghav_arts,"Self - taught Artist.                                               
Instagram - https://t.co/g65ACvhmms",,16,3,29,1,"Drawing @itsSSR 
Instagram - @soniraghav_arts

@onlyforSSR_ #SushanthSinghRajput #SSRTweets #SSR #SushantSinghRajput #JusticeForSushantSinghRajput #art #drawing #artists #artoftheday #drawingoftheday #sketch #bollywood #sketchup #ArtofLegends #artlife https://t.co/tXrlGNVidD","['SushanthSinghRajput', 'SSRTweets', 'SSR', 'SushantSinghRajput', 'JusticeForSushantSinghRajput', 'art', 'drawing', 'artists', 'artoftheday', 'drawingoftheday', 'sketch', 'bollywood', 'sketchup', 'ArtofLegends', 'artlife']"
655,sweety35004900,"Hey mahadev!!you are the only hope for our Sushant's justice🙏🔱✨💫
#HangSSRKillers #JusticeForSushantSinghRajput🙏🙏",in sushant's heart❤️,1226,1369,39540,160,"Always trust your instincts, they are messages from your soul, they are that inner part of you that strives to make you whole.
#SushantSinghRajput  will definitely get justice!!
SSR Justice Is Basic Right https://t.co/hvcDmI74FH",[]
656,Poojasmanu,"HONESTY & INTEGRITY IS EVERYTHING
Fooling others doesn't make you wise
SushantWasKilled Main Bhi Sushant
Warriors4SSR Justice4SSR
ProudIndian🇮🇳 Selenophile🌙",Kahin toh hai...,593,645,101347,15,"14/06/20 - #SushantSinghRajput
14/07/20 - #MahaCMCBIForSSR
14/08/20 - #2MonthsOfSSRMurder
14/09/20 - #Flag4SSR
14/10/20 - #ProtestInBihar4SSR 
                  #MannKiBaat4SSR
14/11/20 - #YeDiwaliSushantWali
14/12/20 - #Oath4SSR   1/2

SSR Justice Is Basic Right https://t.co/sQ3VDxWAu9","['SushantSinghRajput', 'MahaCMCBIForSSR', '2MonthsOfSSRMurder', 'Flag4SSR']"
657,Schiffer05,"The more I try to fix myself
The more I get closer to you
In you I see something
In you I grow
In you I will live

Musing with the master Sushant Singh Rajput",Bermuda Triangle,1536,1521,13958,0,"I fall in love with you everyday @itsSSR 

But I still can't get it right 

So 

I'll just keep falling in love with you TILL I GET IT RIGHT 

#SushantSinghRajput",['SushantSinghRajput']
658,itsASR18,"!!Vishen♏Rajput!!
Indian 🇮🇳","Noida, India",207,16,790,0,"Another 14th 💔
#SushantSinghRajput 
#JusticeForSushantSinghRajput 
@narendramodi @AmitShah https://t.co/g0vcSudolj","['SushantSinghRajput', 'JusticeForSushantSinghRajput']"
659,yettoknow,,,139,160,21638,103,"Sushant spitting facts. 
‘Aapke baare mein discussions honge aapke bina pooche, aur sab ganda bolenge.. Kuch bhi bolenge..’ 🙂🙃

Reminds me of his saying ‘Jaane do sir, kaam bolega.’ 
#SushantSinghRajput https://t.co/UWhgjNT1H4",[]
660,kujur_clara,Justice For Sushant ❤🦋,,27,28,6512,160,"Always trust your instincts, they are messages from your soul, they are that inner part of you that strives to make you whole.
#SushantSinghRajput  will definitely get justice!!
SSR Justice Is Basic Right https://t.co/hvcDmI74FH",[]
661,BackupSsr,,,488,694,23619,160,"Always trust your instincts, they are messages from your soul, they are that inner part of you that strives to make you whole.
#SushantSinghRajput  will definitely get justice!!
SSR Justice Is Basic Right https://t.co/hvcDmI74FH",[]
662,RDS09889218,"Justice for Sushant ⚖
Have strong faith in the DIVINE 💫 HE alone will unfold the TRUTH 💯",,31,31,1249,0,"@SushantJustice1 She's exposing herself dheeray dheeray 😏...glad now tht she's got so famous
 b/c of #SushantSinghRajput she won't be able to keep herself in hiding for long!! Duniya ko bewaqoof bananey wali abhi dobara donations maangeygi🤑🤑
#JusticeForSushantSinghRajput","['SushantSinghRajput', 'JusticeForSushantSinghRajput']"
